Date,Campaign,Impressions,Clicks,CTR,CPC,Spend,Conversions,CPA
2026-07-21,FB Ads - Sale Thang 7,52000,780,1.50%,1346,1050000,16,65625
2026-07-22,FB Ads - Sale Thang 7,54000,760,1.41%,1447,1100000,15,73333
2026-07-23,FB Ads - Sale Thang 7,51000,740,1.45%,1459,1080000,14,77143
2026-07-24,FB Ads - Sale Thang 7,53500,770,1.44%,1455,1120000,17,65882
2026-07-25,FB Ads - Sale Thang 7,50500,700,1.39%,1643,1150000,12,95833
2026-07-26,FB Ads - Sale Thang 7,49000,680,1.39%,1735,1180000,11,107273
2026-07-27,FB Ads - Sale Thang 7,48000,650,1.35%,1846,1200000,10,120000
2026-07-21,FB Ads - Nhan Dien Thuong Hieu,38000,650,1.71%,1200,780000,22,35455
2026-07-22,FB Ads - Nhan Dien Thuong Hieu,39500,670,1.70%,1194,800000,24,33333
2026-07-23,FB Ads - Nhan Dien Thuong Hieu,40000,690,1.73%,1188,820000,25,32800
2026-07-24,FB Ads - Nhan Dien Thuong Hieu,41000,700,1.71%,1186,830000,23,36087
2026-07-25,FB Ads - Nhan Dien Thuong Hieu,42500,720,1.69%,1181,850000,26,32692
2026-07-26,FB Ads - Nhan Dien Thuong Hieu,43000,735,1.71%,1170,860000,27,31852
2026-07-27,FB Ads - Nhan Dien Thuong Hieu,44000,750,1.70%,1173,880000,28,31429
