"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Cài đặt ghi nhận","Lượt mua","Giá trị chuyển đổi từ lượt mua","ROAS (lợi nhuận trên chi tiêu quảng cáo) của lượt mua","Người liên hệ nhắn tin mới","Chi phí trên mỗi người liên hệ nhắn tin mới (VND)","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)","Đơn đặt hàng đã tạo","Đơn đặt hàng đã vận chuyển","Ngày tạo","Người tiếp cận","Lượt hiển thị","Lượt tương tác với bài viết","Tần suất","Lượt click vào liên kết"
2026-03-11,2026-07-27,,0,,,,0,0,38690616,,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,0,2545726,6926488,,2.72083,
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | CẢM ƠN NGƯỜI ĐÃ ĐỒNG HÀNH | 50.000 | 16/3-22/3",inactive,50305,reach,5807.09671007,"Sử dụng ngân sách nhóm quảng cáo",0,292126,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,3,97375.333333,3,97375.333333,,,2026-03-16,50305,59867,258,1.190081,10
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | KỶ NIỆM 1 NĂM AEON MALL TÂN PHÚ CELADON | 150.000 | 16/3-22/3",inactive,150469,reach,6908.00098359,"Sử dụng ngân sách nhóm quảng cáo",0,1039440,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,1039440,1,1039440,,,2026-03-16,150469,195488,244,1.299191,21
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | ƯU ĐÃI 50% VÉ KHI ĐẶT VÉ ONLINE | 100.000 | 23/3-1/4",inactive,97172,reach,8079.1380233,"Sử dụng ngân sách nhóm quảng cáo",0,785066,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,3,261688.666667,3,261688.666667,,,2026-03-23,97172,128378,105,1.321142,18
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach |  CƠ HỘI GIA NHẬP ""ĐẠI GIA ĐÌNH""| 150.000 | 23/3-31/3",inactive,152568,reach,7515.10146295,"Sử dụng ngân sách nhóm quảng cáo",0,1146564,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,1146564,1,1146564,,,2026-03-23,152568,189435,482,1.241643,117
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | PHIM SUPER MARIO THIÊN HÀ | 50.000 | 3/4-8/4",inactive,53370,reach,4784.26082069,"Sử dụng ngân sách nhóm quảng cáo",0,255336,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,255336,1,255336,,,2026-04-03,53370,57491,73,1.077216,60
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | MỪNG ĐẠI LỄ - SALE SẬP SÀN | 150.000 | 14/4-3/5",inactive,153124,reach,7643.47848802,"Sử dụng ngân sách nhóm quảng cáo",0,1170400,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,1170400,3,390133.333333,,,2026-04-14,153124,212472,218,1.387581,95
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | THÁNG 5 NÀY – TẬN HƯỞNG MÙA HÈ THÚ VỊ   | 50.000 | 14/4-20/4",inactive,52337,reach,5751.72440148,"Sử dụng ngân sách nhóm quảng cáo",0,301028,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,301028,1,301028,,,2026-05-07,52337,58205,236,1.11212,79
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach |  COMBO HẤP DẪN – ƯU ĐÃI ĐẾN 30%   | 50.000 | 14/4-20/4 - Bản sao",inactive,50351,reach,5252.86488848,"Sử dụng ngân sách nhóm quảng cáo",0,264487,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,1,264487,1,264487,,,2026-05-07,50351,55670,426,1.105638,86
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | AEON MALL TÂN PHÚ CELADON TRÌNH LÀNG DEAL HÈ CỰC HOT | 50.000 | 12/5 - 31/5",inactive,48432,reach,7372.04740667,"Sử dụng ngân sách nhóm quảng cáo",0,357043,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-18,48432,60756,70,1.25446,23
